,"('total_cost', '1p0c')","('total_cost', '1p1c')","('total_cost', '1p2c')","('total_cost', '1p3c')","('total_cost', '1p4c')","('total_cost', '2p0c')","('total_cost', '2p1c')","('total_cost', '2p2c')","('total_cost', '2p3c')","('total_cost', '2p4c')",county_name,noHS,HS,someCol,Col
121,36114.3132,51379.4652,63072.9084,75986.8356,81726.6912,49393.4064,64619.0508,76442.1972,87187.482,92987.4612,Ballard ,10.79084849576653,39.23617366240317,33.86777157268961,16.10520626914069
122,38416.0896,63433.6812,76808.6136,95316.2232,100458.3864,52715.2092,74316.51,86747.8008,102579.6444,107954.004,Baltimore ,8.39936501159684,24.76132873186988,26.40996057582673,40.42934568070655
123,32953.11,55172.9064,67546.5288,84032.0688,89435.1624,46488.3984,66164.6076,78021.1644,92019.6684,97721.0976,Baltimore city,13.66887749199861,28.11620329310146,24.00898469131994,34.20593452358
124,33650.7216,44531.5104,52400.4312,64973.8356,69101.016,43685.886,55707.0408,62554.23,74164.4592,78684.6444,Bamberg ,22.42855554320027,28.66674079839876,31.43556099188258,17.4691426665184
125,37048.5708,55102.9224,67122.5628,81241.6932,86907.1812,51284.226,68040.3804,78444.27,91021.2828,96802.476,Bandera ,9.282753422936816,28.7275467906042,34.49315412636603,27.49654566009295
126,36576.9312,48108.2136,56860.9104,67314.0936,73096.5648,48260.514,60209.0976,68171.3256,78479.4084,83798.6364,Banks ,23.09836718438869,31.83592194344882,28.57825567502987,16.48745519713262
127,39815.5836,57468.0936,76964.49,93798.3984,101218.6404,55484.3904,73545.258,90653.8824,105763.734,113371.9452,Banner ,7.249466950959488,17.91044776119403,47.54797441364605,27.29211087420043
128,32942.016,49342.7112,63250.1304,80537.8068,86186.8248,45804.732,62034.246,75976.0428,90797.6604,96596.8008,Bannock ,6.711945665201757,25.68009297933389,38.6554316638216,28.95252969164275
129,36462.4896,52588.752,67426.1484,81694.1724,87845.0448,49933.4712,66166.8756,80746.0836,92588.0268,98981.766,Baraga ,8.929143956396281,40.63802500801539,35.76466816287272,14.66816287271561
130,37498.8168,52045.1196,61120.4292,73577.3088,79168.8864,49767.1812,65099.496,74260.2132,84606.8736,90501.8844,Barber ,8.728522336769759,34.36426116838488,32.19931271477663,24.70790378006873
131,37050.437999999995,50862.6546,65246.0508,78752.8212,85320.24900000001,51288.9168,65689.4682,79235.2764,91275.0906,98545.257,Barbour ,24.32898027229786,36.67685468185607,27.84106696304529,11.15309808280078
132,37050.437999999995,50862.6546,65246.0508,78752.8212,85320.24900000001,51288.9168,65689.4682,79235.2764,91275.0906,98545.257,Barbour ,12.19031531531532,53.125,21.65915915915916,13.02552552552553
