,county_name,noHS,HS,someCol,Col
77,"Copper River Census Area, Alaska",5.907859078590786,35.23035230352303,29.10569105691057,29.75609756097561
78,Denali Borough,1.630434782608696,30.43478260869566,28.5024154589372,39.43236714975845
79,Dillingham Census Area,13.45820326049254,39.92369060006937,27.05515088449532,19.56295525494277
80,Fairbanks North Star Borough,5.531193453205745,25.59053192703324,36.31384184014476,32.56443277961625
81,Haines Borough,2.30607966457023,39.41299790356394,32.6345213137666,25.64640111809923
82,Hoonah-Angoon Census Area,6.256572029442692,36.48790746582545,34.91062039957939,22.34490010515247
83,Juneau City and Borough,4.595435230209839,20.98830332500986,34.3540544092522,40.0622070355281
84,Kenai Peninsula Borough,6.049227191239885,30.87116623867435,35.71393962885799,27.36566694122777
85,Ketchikan Gateway Borough,6.029996939087848,28.86440159167432,38.72053872053872,26.38506274869911
86,Kodiak Island Borough,9.509374649152353,28.15762883125631,33.15369933759964,29.17929718199169
87,Kusilvak Census Area,20.44171779141104,55.60736196319019,21.03067484662576,2.920245398773006
88,Kuskokwim Division,,,,
89,Lake and Peninsula Borough,10.72555205047319,40.69400630914826,26.34069400630915,22.2397476340694
90,Matanuska-Susitna Borough,6.281162244254684,33.00905496016964,36.99495673104476,23.71482606453092
91,Nome Census Area,12.3621487015297,43.5965848452508,25.66702241195305,18.37424404126645
92,North Slope Borough,12.34479805908377,41.44427001569859,30.61224489795918,15.59868702725846
93,Northwest Arctic Borough,15.68764568764569,47.08624708624708,22.7972027972028,14.42890442890443
94,Petersburg Census Area,8.51063829787234,31.04806934594169,32.03309692671395,28.40819542947203
95,Prince of Wales-Hyder Census Area,7.646212847555129,38.06327900287631,35.09108341323107,19.19942473633749
96,Prince of Wales-Outer Ketchikan Census Area,,,,
97,Sitka City and Borough,5.19053876478318,25.39421813403416,36.16951379763469,33.24572930354796
98,Skagway Municipality,9.51035781544256,33.52165725047081,31.92090395480226,25.04708097928437
99,Skagway-Yakutat-Angoon Census Area,,,,
100,Skagway-Hoonah-Angoon Census Area,,,,
101,Southeast Fairbanks Census Area,7.425631849698054,38.11227913218519,35.11518675911429,19.34690225900246
102,Upper Yukon Division,,,,
103,Valdez-Cordova Census Area,,,,
104,Wrangell City and Borough,15.22712731925784,36.98016634676903,32.6295585412668,15.16314779270633
105,Wrangell-Petersburg Census Area,,,,
106,Yakutat City and Borough,5.412371134020619,44.58762886597938,39.69072164948454,10.30927835051546
107,Yukon-Koyukuk Census Area,12.87726358148893,42.28226501868353,31.93446392641563,12.9060074734119
108,Arizona,11.69572582010001,23.48698572435307,33.61082318953207,31.20646526601484
109,Apache County,17.82021623152826,31.04197157830131,38.31027807941079,12.82753411075964
110,Cochise County,11.3192657402642,24.3701035054612,38.49831303253846,25.81231772173614
111,Coconino County,9.03269217383234,21.27775586440521,30.94967400635746,38.739877955405
112,Gila County,13.05863789066477,28.48416980555838,39.66965285554311,18.78753944823374
113,Graham County,16.55160941528737,29.6223904183648,39.1499625717375,14.67603759461033
114,Greenlee County,12.32211037834085,32.57549461992364,39.10100659493231,16.00138840680319
115,La Paz County,16.00667576998938,33.95539371870733,38.21878318919739,11.8191473221059
116,Maricopa County,11.15749581342491,22.02357048607981,32.46251888398064,34.35641481651464
117,Mohave County,12.55120402385324,34.30531416393885,38.51648047952146,14.62700133268644
118,Navajo County,15.45196199443121,29.49593822659816,38.38734678646266,16.66475299250797
119,Pima County,10.64911738797177,21.39905160677718,33.57729576369107,34.37453524155999
120,Pinal County,12.42628388893439,30.44202364376007,36.2396592677533,20.89203319955224
121,Santa Cruz County,22.25552518033003,26.06304140179836,28.6453015381575,23.03613187971411
122,Yavapai County,8.448757291753061,25.15053495894501,38.626524010948,27.77418373835393
123,Yuma County,25.0899078879187,26.63671026071354,32.5841653841097,15.68921646725806
124,Arkansas,12.30506260853218,34.07388351003567,29.31632769172162,24.30472618971053
125,Arkansas County,13.31331331331331,41.87520854187521,28.23656990323657,16.57490824157491
126,Ashley County,14.8236522257848,50.87614644694654,22.28021773171277,12.01998359555589
127,Baxter County,11.345838069976,34.71011746873816,35.33851206265,18.60553239863584
128,Benton County,10.28597987751531,29.36078302712161,25.78904199475065,34.56419510061242
129,Boone County,10.88817549491707,33.81869601773293,37.52961858900864,17.76350989834136
130,Bradley County,15.87367259688319,42.90442697558957,28.69948972555509,12.52241070197214
131,Calhoun County,15.79406631762653,43.3391506689936,28.62129144851658,12.24549156486329
132,Carroll County,14.79102905022327,35.16632381716923,28.02167477798405,22.02097235462345
133,Chicot County,21.60528535282542,38.30475119482711,25.33033455158842,14.75962890075907
134,Clark County,9.46449821499405,32.02697342324474,30.61483538278461,27.8936929789766
