state,county_name,totalvotes,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,fips
Alaska,District 17,7239,02017,0.5713496339273381,0.008841000138140627,0.025417875397154302,0.006216328222130129,0.3881751623152369,2017
Alaska,District 18,7720,02018,0.6063471502590674,0.010233160621761658,0.02033678756476684,0.005569948186528497,0.35751295336787564,2018
Alaska,District 19,5301,02019,0.5881909073759668,0.009809469911337484,0.0207508017355216,0.008677607998490851,0.3725712129786833,2019
Alaska,District 2,6136,02002,0.3428943937418514,0.0048891786179921775,0.04677314211212516,0.006681877444589309,0.598761408083442,2002
Alaska,District 20,7497,02020,0.6510604241696679,0.007069494464452448,0.02040816326530612,0.003601440576230492,0.31786047752434304,2020
Alaska,District 21,9429,02021,0.5741860218474918,0.007423904974016332,0.021529324424647365,0.0055149008378407045,0.3913458479160038,2021
Alaska,District 22,9520,02022,0.4782563025210084,0.004831932773109244,0.02100840336134454,0.0038865546218487396,0.49201680672268905,2022
Alaska,District 23,7739,02023,0.4923116681741827,0.006848430029719602,0.02196666235947797,0.00658999870784339,0.4722832407287763,2023
Alaska,District 24,10428,02024,0.45416187188339086,0.004411200613732259,0.021288837744533946,0.004411200613732259,0.5157268891446106,2024
Alaska,District 25,9325,02025,0.4932975871313673,0.007184986595174263,0.021554959785522788,0.005361930294906166,0.4726005361930295,2025
Alaska,District 26,10111,02026,0.45079616259519334,0.005439620215606765,0.020472752447829097,0.004747304915438631,0.5185441598259322,2026
Alaska,District 27,9506,02027,0.5095729013254786,0.006206606353881759,0.023984851672627813,0.005365032610982538,0.4548706080370292,2027
Alaska,District 28,12749,02028,0.4913326535414542,0.005412189191309123,0.017177817868068084,0.0027453133579104245,0.48333202604125813,2028
Alaska,District 29,10747,02029,0.27775193077137805,0.006420396389690146,0.01767935237740765,0.0036289196985205175,0.6945194007630037,2029
Alaska,District 3,8385,02003,0.22695289206917113,0.005008944543828265,0.03768634466308885,0.005724508050089445,0.7246273106738224,2003
Alaska,District 30,10176,02030,0.2592374213836478,0.004127358490566038,0.02653301886792453,0.004520440251572327,0.7055817610062893,2030
Alaska,District 31,12410,02031,0.40588235294117647,0.008058017727639,0.020145044319097503,0.00419016921837228,0.5617244157937148,2031
Alaska,District 32,8335,02032,0.4206358728254349,0.01259748050389922,0.028554289142171566,0.005518896220755849,0.5326934613077384,2032
Alaska,District 33,10955,02033,0.687813783660429,0.009402099497946143,0.017982656321314468,0.005568233683249658,0.2792332268370607,2033
Alaska,District 34,10729,02034,0.5371423245409638,0.0063379625314567995,0.02600428744524187,0.007083605182216423,0.42343182030012116,2034
Alaska,District 35,10102,02035,0.49604038804197187,0.009404078400316769,0.01682835082161948,0.0056424470401900614,0.4720847356959018,2035
Alaska,District 36,9292,02036,0.40852346104175635,0.008501937150236763,0.026366767111493758,0.006241928540680155,0.550365906155833,2036
Alaska,District 37,5142,02037,0.4978607545702061,0.010890704006223259,0.016725009723842863,0.015947102294826914,0.45857642940490084,2037
Alaska,District 38,5299,02038,0.6042649556520098,0.021136063408190225,0.019815059445178335,0.026986223815814305,0.32779769767880734,2038
Alaska,District 39,5891,02039,0.6077066711933458,0.01765404854863351,0.0208793074180954,0.02461381768799864,0.3291461551519267,2039
Alaska,District 4,10511,02004,0.5085148891637332,0.008847873656169727,0.030729711730567977,0.00570830558462563,0.4461992198649034,2004
Alaska,District 40,4603,02040,0.5035846187269172,0.01868346730393222,0.02042146426243754,0.02411470779926135,0.43319574190745164,2040
Alaska,District 5,8654,02005,0.4857869193436561,0.00785763808643402,0.029928356829211925,0.005315461058470071,0.4711116246822279,2005
Alaska,District 6,9460,02006,0.34587737843551797,0.008773784355179705,0.028118393234672304,0.007293868921775899,0.6099365750528541,2006
Alaska,District 7,9622,02007,0.23020162128455623,0.005612138848472251,0.028268551236749116,0.005612138848472251,0.7303055497817501,2007
Alaska,District 8,9912,02008,0.19703389830508475,0.004842615012106538,0.024313962873284908,0.005246166263115416,0.7685633575464084,2008
Alaska,District 9,10993,02009,0.2518875648139725,0.007004457381970345,0.027381060674974984,0.005367051760211044,0.7083598653688711,2009
Alaska,District 99,433,02099,0.8614318706697459,0.0,0.0023094688221709007,0.0,0.13625866050808313,2099
Arizona,Apache,35172,04001,0.6622597520755146,0.0,0.012424655976344819,0.0,0.3253155919481406,4001
Arizona,Cochise,60442,04003,0.3926408788590715,0.0,0.01907613910856689,0.0,0.5882829820323616,4003
Arizona,Coconino,73272,04005,0.6100283873785348,0.0,0.0207719183316956,0.0,0.3691996942897696,4005
Arizona,Gila,27662,04007,0.3232954956257682,0.0,0.012363531198033403,0.0,0.6643409731761984,4007
Arizona,Graham,14995,04009,0.2690230076692231,0.0,0.014138046015338445,0.0,0.7168389463154384,4009
Arizona,Greenlee,3685,04011,0.32075983717774764,0.0,0.018995929443690638,0.0,0.6602442333785618,4011
Arizona,La Paz,7458,04012,0.2998122821131671,0.0,0.01246983105390185,0.0,0.6877178868329311,4012
Arizona,Maricopa,2068144,04013,0.5032405867289705,0.0,0.0153301704330066,0.0,0.4814292428380229,4013
Arizona,Mohave,104668,04015,0.2372358313906829,0.0,0.012439331983032063,0.0,0.750324836626285,4015
Arizona,Navajo,51767,04017,0.45169702706357334,0.0,0.014043695790754727,0.0,0.534259277145672,4017
Arizona,Pima,520397,04019,0.5860544930120658,0.0,0.014715688214958963,0.0,0.39922981877297525,4019
Arizona,Pinal,184974,04021,0.4060354428189908,0.0,0.015088607047476943,0.0,0.5788759501335323,4021
Arizona,Santa Cruz,19556,04023,0.6718142769482511,0.0,0.011454285129883411,0.0,0.3167314379218654,4023
Arizona,Yavapai,143221,04025,0.3463318926693711,0.0,0.014606796489341647,0.0,0.6390613108412873,4025
Arizona,Yuma,69881,04027,0.4609264320773887,0.0,0.016270517021794193,0.0,0.5228030509008171,4027
Arkansas,Arkansas,6292,05001,0.28893833439287986,0.0025429116338207248,0.007310870947234584,0.017164653528289893,0.684043229497775,5001
